JournalID,Venue,Year,Volume
32,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,46
37,IEEE Access,2024,12
93,IEEE Transactions on Parallel and Distributed Systems,2023,35
94,IEEE/ASME transactions on mechatronics,2022,29
72,Scientific Reports,2024,14
95,Journal of Big Data,2020,8
96,Materials,2022,15
54,IEEE Transactions on Mobile Computing,2024,23
3,IEEE Internet of Things Journal,2024,11
97,Journal of Computing and Information Science in Engineering,2023,24
98,Human-Centric Computing and Information Sciences,2015,5
99,Synthesis Lectures on Human-Centered Informatics,2015,0
98,Human-Centric Computing and Information Sciences,2014,4
100,Computer Applications in Engineering Education,2017,25
101,Smart Learning Environments,2024,11
102,IEEE Transactions on Visualization and Computer Graphics,2023,30
100,Computer Applications in Engineering Education,2023,31
103,PLoS ONE,2023,18
40,"Soft Computing - A Fusion of Foundations, Methodologies and Applications",2024,0
104,IEEE transactions on fuzzy systems,2022,30
105,Expert systems with applications,2015,42
106,IEEE Transactions on Cognitive and Developmental Systems,2021,15
4,IEEE Transactions on Automation Science and Engineering,2023,20
107,Frontiers in Robotics and AI,2019,7
108,ACM Transactions on Modeling and Computer Simulation,2024,0
109,Cluster Computing,2014,17
110,Asia-pacific Journal of Convergent Research Interchange,2020,0
111,International Journal of Intelligent Systems Technologies and Applications,2018,17
112,ACM Transactions on Computing Education,2024,0
112,ACM Transactions on Computing Education,2023,24
112,ACM Transactions on Computing Education,2023,23
113,Information Sciences,2018,0
26,Machine-mediated learning,2017,106
83,International Journal of Computer Vision,2024,0
114,IEEE Transactions on Nanobioscience,2003,2
115,International journal of circuit theory and applications,1998,26
6,IEEE Transactions on Affective Computing,2021,14
116,Journal of Imaging,2020,6
117,Indonesian Journal of Electrical Engineering and Computer Science,2019,0
118,Journal of Information and Optimization Sciences,2019,40
37,IEEE Access,2020,8
62,Journal of Intelligent Manufacturing,2023,0
119,Journal of Neuroscience Methods,2021,364
28,bioRxiv,2020,0
120,Journal of Biomedical Research,2019,34
121,Journal of the Institution of Electronics and Telecommunication Engineers,2019,67
122,Optimization Letters,2022,17
123,Journal of the Operations Research Society of China,2021,10
124,Journal of combinatorial optimization,2021,41
122,Optimization Letters,2020,15
124,Journal of combinatorial optimization,2020,40
123,Journal of the Operations Research Society of China,2018,8
124,Journal of combinatorial optimization,2016,31
125,Distributed and parallel databases,2021,40
126,IEEE Transactions on Services Computing,2018,11
127,IEEE Communications Surveys and Tutorials,2018,20
58,Journal of Computer Science,2013,9
128,ACM Journal on Emerging Technologies in Computing Systems,2022,18
